iteration,train_emotion,test_emotion,match_score,similarity,timestamp,result
1,neutral,amused,0.31,0.07,2025-09-20 20:20:28,fail
1,neutral,anger,0.34,0.11,2025-09-20 20:20:28,success
1,neutral,disgust,0.28,0.07,2025-09-20 20:20:29,fail
1,neutral,neutral,0.33,1.0,2025-09-20 20:20:29,success
1,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:29,fail
2,neutral,amused,0.31,0.07,2025-09-20 20:20:30,fail
2,neutral,anger,0.34,0.11,2025-09-20 20:20:30,success
2,neutral,disgust,0.28,0.07,2025-09-20 20:20:30,fail
2,neutral,neutral,0.33,1.0,2025-09-20 20:20:30,success
2,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:31,fail
3,neutral,amused,0.31,0.07,2025-09-20 20:20:31,fail
3,neutral,anger,0.34,0.11,2025-09-20 20:20:31,success
3,neutral,disgust,0.28,0.07,2025-09-20 20:20:32,fail
3,neutral,neutral,0.33,1.0,2025-09-20 20:20:32,success
3,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:32,fail
4,neutral,amused,0.31,0.07,2025-09-20 20:20:32,fail
4,neutral,anger,0.34,0.11,2025-09-20 20:20:33,success
4,neutral,disgust,0.28,0.07,2025-09-20 20:20:33,fail
4,neutral,neutral,0.33,1.0,2025-09-20 20:20:34,success
4,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:34,fail
5,neutral,amused,0.31,0.07,2025-09-20 20:20:34,fail
5,neutral,anger,0.34,0.11,2025-09-20 20:20:34,success
5,neutral,disgust,0.28,0.07,2025-09-20 20:20:35,fail
5,neutral,neutral,0.33,1.0,2025-09-20 20:20:35,success
5,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:35,fail
6,neutral,amused,0.31,0.07,2025-09-20 20:20:36,fail
6,neutral,anger,0.34,0.11,2025-09-20 20:20:36,success
6,neutral,disgust,0.28,0.07,2025-09-20 20:20:36,fail
6,neutral,neutral,0.33,1.0,2025-09-20 20:20:36,success
6,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:37,fail
7,neutral,amused,0.31,0.07,2025-09-20 20:20:37,fail
7,neutral,anger,0.34,0.11,2025-09-20 20:20:37,success
7,neutral,disgust,0.28,0.07,2025-09-20 20:20:38,fail
7,neutral,neutral,0.33,1.0,2025-09-20 20:20:38,success
7,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:38,fail
8,neutral,amused,0.31,0.07,2025-09-20 20:20:38,fail
8,neutral,anger,0.34,0.11,2025-09-20 20:20:39,success
8,neutral,disgust,0.28,0.07,2025-09-20 20:20:39,fail
8,neutral,neutral,0.33,1.0,2025-09-20 20:20:39,success
8,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:40,fail
9,neutral,amused,0.31,0.07,2025-09-20 20:20:40,fail
9,neutral,anger,0.34,0.11,2025-09-20 20:20:40,success
9,neutral,disgust,0.28,0.07,2025-09-20 20:20:40,fail
9,neutral,neutral,0.33,1.0,2025-09-20 20:20:41,success
9,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:41,fail
10,neutral,amused,0.31,0.07,2025-09-20 20:20:41,fail
10,neutral,anger,0.34,0.11,2025-09-20 20:20:41,success
10,neutral,disgust,0.28,0.07,2025-09-20 20:20:42,fail
10,neutral,neutral,0.33,1.0,2025-09-20 20:20:42,success
10,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:42,fail
11,neutral,amused,0.31,0.07,2025-09-20 20:20:42,fail
11,neutral,anger,0.34,0.11,2025-09-20 20:20:43,success
11,neutral,disgust,0.28,0.07,2025-09-20 20:20:43,fail
11,neutral,neutral,0.33,1.0,2025-09-20 20:20:43,success
11,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:44,fail
12,neutral,amused,0.31,0.07,2025-09-20 20:20:44,fail
12,neutral,anger,0.34,0.11,2025-09-20 20:20:44,success
12,neutral,disgust,0.28,0.07,2025-09-20 20:20:44,fail
12,neutral,neutral,0.33,1.0,2025-09-20 20:20:45,success
12,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:45,fail
13,neutral,amused,0.31,0.07,2025-09-20 20:20:45,fail
13,neutral,anger,0.34,0.11,2025-09-20 20:20:45,success
13,neutral,disgust,0.28,0.07,2025-09-20 20:20:46,fail
13,neutral,neutral,0.33,1.0,2025-09-20 20:20:46,success
13,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:46,fail
14,neutral,amused,0.31,0.07,2025-09-20 20:20:46,fail
14,neutral,anger,0.34,0.11,2025-09-20 20:20:47,success
14,neutral,disgust,0.28,0.07,2025-09-20 20:20:47,fail
14,neutral,neutral,0.33,1.0,2025-09-20 20:20:47,success
14,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:47,fail
15,neutral,amused,0.31,0.07,2025-09-20 20:20:48,fail
15,neutral,anger,0.34,0.11,2025-09-20 20:20:48,success
15,neutral,disgust,0.28,0.07,2025-09-20 20:20:48,fail
15,neutral,neutral,0.33,1.0,2025-09-20 20:20:49,success
15,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:49,fail
16,neutral,amused,0.31,0.07,2025-09-20 20:20:49,fail
16,neutral,anger,0.34,0.11,2025-09-20 20:20:49,success
16,neutral,disgust,0.28,0.07,2025-09-20 20:20:50,fail
16,neutral,neutral,0.33,1.0,2025-09-20 20:20:50,success
16,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:50,fail
17,neutral,amused,0.31,0.07,2025-09-20 20:20:50,fail
17,neutral,anger,0.34,0.11,2025-09-20 20:20:51,success
17,neutral,disgust,0.28,0.07,2025-09-20 20:20:51,fail
17,neutral,neutral,0.33,1.0,2025-09-20 20:20:51,success
17,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:52,fail
18,neutral,amused,0.31,0.07,2025-09-20 20:20:52,fail
18,neutral,anger,0.34,0.11,2025-09-20 20:20:52,success
18,neutral,disgust,0.28,0.07,2025-09-20 20:20:52,fail
18,neutral,neutral,0.33,1.0,2025-09-20 20:20:53,success
18,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:53,fail
19,neutral,amused,0.31,0.07,2025-09-20 20:20:53,fail
19,neutral,anger,0.34,0.11,2025-09-20 20:20:54,success
19,neutral,disgust,0.28,0.07,2025-09-20 20:20:54,fail
19,neutral,neutral,0.33,1.0,2025-09-20 20:20:54,success
19,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:55,fail
20,neutral,amused,0.31,0.07,2025-09-20 20:20:55,fail
20,neutral,anger,0.34,0.11,2025-09-20 20:20:55,success
20,neutral,disgust,0.28,0.07,2025-09-20 20:20:56,fail
20,neutral,neutral,0.33,1.0,2025-09-20 20:20:56,success
20,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:57,fail
21,neutral,amused,0.31,0.07,2025-09-20 20:20:57,fail
21,neutral,anger,0.34,0.11,2025-09-20 20:20:57,success
21,neutral,disgust,0.28,0.07,2025-09-20 20:20:58,fail
21,neutral,neutral,0.33,1.0,2025-09-20 20:20:58,success
21,neutral,sleepiness,0.32,0.07,2025-09-20 20:20:59,fail
22,neutral,amused,0.31,0.07,2025-09-20 20:20:59,fail
22,neutral,anger,0.34,0.11,2025-09-20 20:20:59,success
22,neutral,disgust,0.28,0.07,2025-09-20 20:21:00,fail
22,neutral,neutral,0.33,1.0,2025-09-20 20:21:00,success
22,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:00,fail
23,neutral,amused,0.31,0.07,2025-09-20 20:21:01,fail
23,neutral,anger,0.34,0.11,2025-09-20 20:21:01,success
23,neutral,disgust,0.28,0.07,2025-09-20 20:21:01,fail
23,neutral,neutral,0.33,1.0,2025-09-20 20:21:02,success
23,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:02,fail
24,neutral,amused,0.31,0.07,2025-09-20 20:21:02,fail
24,neutral,anger,0.34,0.11,2025-09-20 20:21:02,success
24,neutral,disgust,0.28,0.07,2025-09-20 20:21:03,fail
24,neutral,neutral,0.33,1.0,2025-09-20 20:21:03,success
24,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:03,fail
25,neutral,amused,0.31,0.07,2025-09-20 20:21:03,fail
25,neutral,anger,0.34,0.11,2025-09-20 20:21:04,success
25,neutral,disgust,0.28,0.07,2025-09-20 20:21:04,fail
25,neutral,neutral,0.33,1.0,2025-09-20 20:21:04,success
25,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:05,fail
26,neutral,amused,0.31,0.07,2025-09-20 20:21:05,fail
26,neutral,anger,0.34,0.11,2025-09-20 20:21:05,success
26,neutral,disgust,0.28,0.07,2025-09-20 20:21:05,fail
26,neutral,neutral,0.33,1.0,2025-09-20 20:21:06,success
26,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:06,fail
27,neutral,amused,0.31,0.07,2025-09-20 20:21:06,fail
27,neutral,anger,0.34,0.11,2025-09-20 20:21:07,success
27,neutral,disgust,0.28,0.07,2025-09-20 20:21:07,fail
27,neutral,neutral,0.33,1.0,2025-09-20 20:21:07,success
27,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:07,fail
28,neutral,amused,0.31,0.07,2025-09-20 20:21:08,fail
28,neutral,anger,0.34,0.11,2025-09-20 20:21:08,success
28,neutral,disgust,0.28,0.07,2025-09-20 20:21:08,fail
28,neutral,neutral,0.33,1.0,2025-09-20 20:21:09,success
28,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:09,fail
29,neutral,amused,0.31,0.07,2025-09-20 20:21:09,fail
29,neutral,anger,0.34,0.11,2025-09-20 20:21:10,success
29,neutral,disgust,0.28,0.07,2025-09-20 20:21:10,fail
29,neutral,neutral,0.33,1.0,2025-09-20 20:21:10,success
29,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:11,fail
30,neutral,amused,0.31,0.07,2025-09-20 20:21:11,fail
30,neutral,anger,0.34,0.11,2025-09-20 20:21:11,success
30,neutral,disgust,0.28,0.07,2025-09-20 20:21:12,fail
30,neutral,neutral,0.33,1.0,2025-09-20 20:21:12,success
30,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:12,fail
31,neutral,amused,0.31,0.07,2025-09-20 20:21:13,fail
31,neutral,anger,0.34,0.11,2025-09-20 20:21:13,success
31,neutral,disgust,0.28,0.07,2025-09-20 20:21:13,fail
31,neutral,neutral,0.33,1.0,2025-09-20 20:21:14,success
31,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:14,fail
32,neutral,amused,0.31,0.07,2025-09-20 20:21:14,fail
32,neutral,anger,0.34,0.11,2025-09-20 20:21:14,success
32,neutral,disgust,0.28,0.07,2025-09-20 20:21:15,fail
32,neutral,neutral,0.33,1.0,2025-09-20 20:21:15,success
32,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:15,fail
33,neutral,amused,0.31,0.07,2025-09-20 20:21:15,fail
33,neutral,anger,0.34,0.11,2025-09-20 20:21:16,success
33,neutral,disgust,0.28,0.07,2025-09-20 20:21:16,fail
33,neutral,neutral,0.33,1.0,2025-09-20 20:21:16,success
33,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:17,fail
34,neutral,amused,0.31,0.07,2025-09-20 20:21:17,fail
34,neutral,anger,0.34,0.11,2025-09-20 20:21:17,success
34,neutral,disgust,0.28,0.07,2025-09-20 20:21:17,fail
34,neutral,neutral,0.33,1.0,2025-09-20 20:21:18,success
34,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:18,fail
35,neutral,amused,0.31,0.07,2025-09-20 20:21:18,fail
35,neutral,anger,0.34,0.11,2025-09-20 20:21:19,success
35,neutral,disgust,0.28,0.07,2025-09-20 20:21:19,fail
35,neutral,neutral,0.33,1.0,2025-09-20 20:21:19,success
35,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:20,fail
36,neutral,amused,0.31,0.07,2025-09-20 20:21:20,fail
36,neutral,anger,0.34,0.11,2025-09-20 20:21:20,success
36,neutral,disgust,0.28,0.07,2025-09-20 20:21:20,fail
36,neutral,neutral,0.33,1.0,2025-09-20 20:21:21,success
36,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:21,fail
37,neutral,amused,0.31,0.07,2025-09-20 20:21:21,fail
37,neutral,anger,0.34,0.11,2025-09-20 20:21:22,success
37,neutral,disgust,0.28,0.07,2025-09-20 20:21:22,fail
37,neutral,neutral,0.33,1.0,2025-09-20 20:21:22,success
37,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:22,fail
38,neutral,amused,0.31,0.07,2025-09-20 20:21:23,fail
38,neutral,anger,0.34,0.11,2025-09-20 20:21:23,success
38,neutral,disgust,0.28,0.07,2025-09-20 20:21:23,fail
38,neutral,neutral,0.33,1.0,2025-09-20 20:21:23,success
38,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:24,fail
39,neutral,amused,0.31,0.07,2025-09-20 20:21:24,fail
39,neutral,anger,0.34,0.11,2025-09-20 20:21:24,success
39,neutral,disgust,0.28,0.07,2025-09-20 20:21:25,fail
39,neutral,neutral,0.33,1.0,2025-09-20 20:21:25,success
39,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:25,fail
40,neutral,amused,0.31,0.07,2025-09-20 20:21:26,fail
40,neutral,anger,0.34,0.11,2025-09-20 20:21:26,success
40,neutral,disgust,0.28,0.07,2025-09-20 20:21:26,fail
40,neutral,neutral,0.33,1.0,2025-09-20 20:21:27,success
40,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:27,fail
41,neutral,amused,0.31,0.07,2025-09-20 20:21:27,fail
41,neutral,anger,0.34,0.11,2025-09-20 20:21:28,success
41,neutral,disgust,0.28,0.07,2025-09-20 20:21:28,fail
41,neutral,neutral,0.33,1.0,2025-09-20 20:21:28,success
41,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:29,fail
42,neutral,amused,0.31,0.07,2025-09-20 20:21:29,fail
42,neutral,anger,0.34,0.11,2025-09-20 20:21:29,success
42,neutral,disgust,0.28,0.07,2025-09-20 20:21:29,fail
42,neutral,neutral,0.33,1.0,2025-09-20 20:21:30,success
42,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:30,fail
43,neutral,amused,0.31,0.07,2025-09-20 20:21:30,fail
43,neutral,anger,0.34,0.11,2025-09-20 20:21:31,success
43,neutral,disgust,0.28,0.07,2025-09-20 20:21:31,fail
43,neutral,neutral,0.33,1.0,2025-09-20 20:21:31,success
43,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:31,fail
44,neutral,amused,0.31,0.07,2025-09-20 20:21:32,fail
44,neutral,anger,0.34,0.11,2025-09-20 20:21:32,success
44,neutral,disgust,0.28,0.07,2025-09-20 20:21:32,fail
44,neutral,neutral,0.33,1.0,2025-09-20 20:21:32,success
44,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:33,fail
45,neutral,amused,0.31,0.07,2025-09-20 20:21:33,fail
45,neutral,anger,0.34,0.11,2025-09-20 20:21:33,success
45,neutral,disgust,0.28,0.07,2025-09-20 20:21:34,fail
45,neutral,neutral,0.33,1.0,2025-09-20 20:21:34,success
45,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:34,fail
46,neutral,amused,0.31,0.07,2025-09-20 20:21:34,fail
46,neutral,anger,0.34,0.11,2025-09-20 20:21:35,success
46,neutral,disgust,0.28,0.07,2025-09-20 20:21:35,fail
46,neutral,neutral,0.33,1.0,2025-09-20 20:21:35,success
46,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:36,fail
47,neutral,amused,0.31,0.07,2025-09-20 20:21:36,fail
47,neutral,anger,0.34,0.11,2025-09-20 20:21:36,success
47,neutral,disgust,0.28,0.07,2025-09-20 20:21:36,fail
47,neutral,neutral,0.33,1.0,2025-09-20 20:21:37,success
47,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:37,fail
48,neutral,amused,0.31,0.07,2025-09-20 20:21:37,fail
48,neutral,anger,0.34,0.11,2025-09-20 20:21:37,success
48,neutral,disgust,0.28,0.07,2025-09-20 20:21:38,fail
48,neutral,neutral,0.33,1.0,2025-09-20 20:21:38,success
48,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:38,fail
49,neutral,amused,0.31,0.07,2025-09-20 20:21:39,fail
49,neutral,anger,0.34,0.11,2025-09-20 20:21:39,success
49,neutral,disgust,0.28,0.07,2025-09-20 20:21:39,fail
49,neutral,neutral,0.33,1.0,2025-09-20 20:21:39,success
49,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:40,fail
50,neutral,amused,0.31,0.07,2025-09-20 20:21:40,fail
50,neutral,anger,0.34,0.11,2025-09-20 20:21:40,success
50,neutral,disgust,0.28,0.07,2025-09-20 20:21:41,fail
50,neutral,neutral,0.33,1.0,2025-09-20 20:21:41,success
50,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:41,fail
51,neutral,amused,0.31,0.07,2025-09-20 20:21:41,fail
51,neutral,anger,0.34,0.11,2025-09-20 20:21:42,success
51,neutral,disgust,0.28,0.07,2025-09-20 20:21:42,fail
51,neutral,neutral,0.33,1.0,2025-09-20 20:21:42,success
