iteration,train_emotion,test_emotion,match_score,similarity,timestamp,result
1,neutral,amused,0.31,0.07,20/09/2025 18:46,fail
1,neutral,anger,0.34,0.11,20/09/2025 18:46,success
1,neutral,disgust,0.28,0.07,20/09/2025 18:46,fail
1,neutral,neutral,0.33,1,20/09/2025 18:46,success
1,neutral,sleepiness,0.32,0.07,20/09/2025 18:46,fail
2,neutral,amused,0.31,0.07,20/09/2025 18:47,fail
2,neutral,anger,0.34,0.11,20/09/2025 18:47,success
2,neutral,disgust,0.28,0.07,20/09/2025 18:47,fail
2,neutral,neutral,0.33,1,20/09/2025 18:47,success
2,neutral,sleepiness,0.32,0.07,20/09/2025 18:47,fail
3,neutral,amused,0.31,0.07,20/09/2025 18:48,fail
3,neutral,anger,0.34,0.11,20/09/2025 18:48,success
3,neutral,disgust,0.28,0.07,20/09/2025 18:48,fail
3,neutral,neutral,0.33,1,20/09/2025 18:48,fail
3,neutral,sleepiness,0.32,0.07,20/09/2025 18:48,fail
4,neutral,amused,0.31,0.07,20/09/2025 18:48,fail
4,neutral,anger,0.34,0.11,20/09/2025 18:48,success
4,neutral,disgust,0.28,0.07,20/09/2025 18:48,fail
4,neutral,neutral,0.33,1,20/09/2025 18:48,success
4,neutral,sleepiness,0.32,0.07,20/09/2025 18:48,fail
5,neutral,amused,0.31,0.07,20/09/2025 18:49,fail
5,neutral,anger,0.34,0.11,20/09/2025 18:49,success
5,neutral,disgust,0.28,0.07,20/09/2025 18:49,fail
5,neutral,neutral,0.33,1,20/09/2025 18:49,success
5,neutral,sleepiness,0.32,0.07,20/09/2025 18:49,fail
6,neutral,amused,0.31,0.07,20/09/2025 18:50,fail
6,neutral,anger,0.34,0.11,20/09/2025 18:50,success
6,neutral,disgust,0.28,0.07,20/09/2025 18:50,fail
6,neutral,neutral,0.33,1,20/09/2025 18:50,success
6,neutral,sleepiness,0.32,0.07,20/09/2025 18:50,fail
7,neutral,amused,0.31,0.07,20/09/2025 18:50,fail
7,neutral,anger,0.34,0.11,20/09/2025 18:50,success
7,neutral,disgust,0.28,0.07,20/09/2025 18:50,fail
7,neutral,neutral,0.33,1,20/09/2025 18:50,success
7,neutral,sleepiness,0.32,0.07,20/09/2025 18:50,fail
8,neutral,amused,0.31,0.07,20/09/2025 18:51,fail
8,neutral,anger,0.34,0.11,20/09/2025 18:51,success
8,neutral,disgust,0.28,0.07,20/09/2025 18:51,fail
8,neutral,neutral,0.33,1,20/09/2025 18:51,success
8,neutral,sleepiness,0.32,0.07,20/09/2025 18:51,fail
9,neutral,amused,0.31,0.07,20/09/2025 18:52,fail
9,neutral,anger,0.34,0.11,20/09/2025 18:52,success
9,neutral,disgust,0.28,0.07,20/09/2025 18:52,fail
9,neutral,neutral,0.33,1,20/09/2025 18:52,success
9,neutral,sleepiness,0.32,0.07,20/09/2025 18:52,fail
10,neutral,amused,0.31,0.07,20/09/2025 18:53,fail
10,neutral,anger,0.34,0.11,20/09/2025 18:53,success
10,neutral,disgust,0.28,0.07,20/09/2025 18:53,fail
10,neutral,neutral,0.33,1,20/09/2025 18:53,success
10,neutral,sleepiness,0.32,0.07,20/09/2025 18:53,fail
11,neutral,amused,0.31,0.07,20/09/2025 18:53,fail
11,neutral,anger,0.34,0.11,20/09/2025 18:53,success
11,neutral,disgust,0.28,0.07,20/09/2025 18:53,fail
11,neutral,neutral,0.33,1,20/09/2025 18:53,success
11,neutral,sleepiness,0.32,0.07,20/09/2025 18:53,fail
12,neutral,amused,0.31,0.07,20/09/2025 18:53,fail
12,neutral,anger,0.34,0.11,20/09/2025 18:53,success
12,neutral,disgust,0.28,0.07,20/09/2025 18:53,fail
12,neutral,neutral,0.33,1,20/09/2025 18:53,success
12,neutral,sleepiness,0.32,0.07,20/09/2025 18:53,fail
13,neutral,amused,0.31,0.07,20/09/2025 18:54,fail
13,neutral,anger,0.34,0.11,20/09/2025 18:54,success
13,neutral,disgust,0.28,0.07,20/09/2025 18:54,fail
13,neutral,neutral,0.33,1,20/09/2025 18:54,success
13,neutral,sleepiness,0.32,0.07,20/09/2025 18:54,fail
14,neutral,amused,0.31,0.07,20/09/2025 18:54,fail
14,neutral,anger,0.34,0.11,20/09/2025 18:54,success
14,neutral,disgust,0.28,0.07,20/09/2025 18:54,fail
14,neutral,neutral,0.33,1,20/09/2025 18:54,success
14,neutral,sleepiness,0.32,0.07,20/09/2025 18:54,fail
15,neutral,amused,0.31,0.07,20/09/2025 18:55,fail
15,neutral,anger,0.34,0.11,20/09/2025 18:55,success
15,neutral,disgust,0.28,0.07,20/09/2025 18:55,fail
15,neutral,neutral,0.33,1,20/09/2025 18:55,success
15,neutral,sleepiness,0.32,0.07,20/09/2025 18:55,fail
16,neutral,amused,0.31,0.07,20/09/2025 18:56,fail
16,neutral,anger,0.34,0.11,20/09/2025 18:56,success
16,neutral,disgust,0.28,0.07,20/09/2025 18:56,fail
16,neutral,neutral,0.33,1,20/09/2025 18:56,success
16,neutral,sleepiness,0.32,0.07,20/09/2025 18:56,fail
17,neutral,amused,0.31,0.07,20/09/2025 18:56,fail
17,neutral,anger,0.34,0.11,20/09/2025 18:56,success
17,neutral,disgust,0.28,0.07,20/09/2025 18:56,fail
17,neutral,neutral,0.33,1,20/09/2025 18:56,success
17,neutral,sleepiness,0.32,0.07,20/09/2025 18:56,fail
18,neutral,amused,0.31,0.07,20/09/2025 18:57,fail
18,neutral,anger,0.34,0.11,20/09/2025 18:57,success
18,neutral,disgust,0.28,0.07,20/09/2025 18:57,fail
18,neutral,neutral,0.33,1,20/09/2025 18:57,success
18,neutral,sleepiness,0.32,0.07,20/09/2025 18:57,fail
19,neutral,amused,0.31,0.07,20/09/2025 18:57,fail
19,neutral,anger,0.34,0.11,20/09/2025 18:57,success
19,neutral,disgust,0.28,0.07,20/09/2025 18:57,fail
19,neutral,neutral,0.33,1,20/09/2025 18:57,success
19,neutral,sleepiness,0.32,0.07,20/09/2025 18:57,fail
